chave,categoria,proposta
QR Codes de Equipamentos,sigla-tecnico,
Qtd,texto-geral,
Qtd. consumida,texto-geral,
Quantidade,texto-geral,
Quilograma (kg),texto-geral,
Ranking dos equipamentos mais intervencionados.,texto-geral,
"Recebemos uma solicitação para redefinir as credenciais de acesso associadas à sua conta. Para prosseguir com a alteração, utilize o botão de verificação abaixo:",texto-geral,
Recolher menu,texto-geral,
Recolher operações,texto-geral,
Recolher tudo,texto-geral,
Recomenda-se resolver os mais urgentes primeiro.,texto-geral,
"Recursos disponíveis, utilização prevista...",texto-geral,
Recusada,texto-geral,
Recusado,texto-geral,
Referência,texto-geral,
Referência do fabricante,texto-geral,
Rejeitado,texto-geral,
Rejeitar,texto-geral,
Relatório Analítico,texto-geral,
Relatório Consolidado de Tickets,texto-geral,
Relatório Técnico,texto-geral,
Repor,texto-geral,
Resolvido,texto-geral,
Resposta,texto-geral,
Respostas,texto-geral,
Resumo,texto-geral,
Resumo Operacional,texto-geral,
Resumo da Plataforma,texto-geral,
Rolo,texto-geral,
Rosa Contemporâneo,marca-tema,
Rosa Noturno,marca-tema,
Round-robin,sigla-tecnico,
Roxo Criativo,marca-tema,
Roxo Noturno,marca-tema,
SKU,sigla-tecnico,
SLA,sigla-tecnico,
SLA Mensal,sigla-tecnico,
Sala,texto-geral,
Sala / Espaço,texto-geral,
Sala / Localização,texto-geral,
Sala Associada,texto-geral,
Sala Ativa,texto-geral,
Sala Inativa,texto-geral,
Sala atualizada com sucesso.,texto-geral,
Sala criada com sucesso.,texto-geral,
Sala inativada com sucesso.,texto-geral,
Salas,texto-geral,
Salas Mais Afetadas,texto-geral,
Saída,texto-geral,
Schemas,sigla-tecnico,
"Se deixar vazio, será gerado automaticamente.",texto-geral,
"Se tiver problemas com o botão acima, copie e cole o URL seguinte no seu navegador:",sigla-tecnico,
Segurança de Conta,texto-geral,
Selecionar Formato de Data,texto-geral,
Selecionar Idioma e Região,texto-geral,
Selecionar Moeda,texto-geral,
Selecionar formato de data,texto-geral,
Selecionar formato de hora,texto-geral,
Selecionar formato de números,texto-geral,
Selecionar idioma,texto-geral,
Selecionar moeda,texto-geral,
Selecione o impacto real na produção,texto-geral,
Selecione o tipo de problema...,texto-geral,
Selecione peça...,texto-geral,
Selecione um equipamento da lista de sugestões.,texto-geral,
Selecione...,texto-geral,
Sem categoria,texto-geral,
Sem estado,texto-geral,
Sem fornecedores associados.,texto-geral,
Sem motivo,texto-geral,
Sem resultados,texto-geral,
Sem sala associada,texto-geral,
Sem sala associada a este equipamento.,texto-geral,
Sem tickets associados a esta sala.,texto-geral,
Sem tickets associados a este equipamento.,texto-geral,
Semana,texto-geral,
Separador,texto-geral,
Separador decimal,texto-geral,
Servidor,texto-geral,
Servidor Principal da API,sigla-tecnico,
Servidores,texto-geral,
Sessão ativa,texto-geral,
Sessão protegida,texto-geral,
Sincronização Ativa,texto-geral,
Sistema,sigla-tecnico,
Submeter Orçamento Detalhado,texto-geral,
Sugestões de equipamentos,texto-geral,
Superfícies,texto-geral,
Swagger,sigla-tecnico,
Tabela de dados,texto-geral,
Taxa de IVA,texto-geral,
Taxa de IVA atualizada com sucesso,texto-geral,
Taxa de IVA atualizada com sucesso.,texto-geral,
Taxa de IVA criada com sucesso,texto-geral,
Taxa de IVA criada com sucesso.,texto-geral,
Taxa de IVA desativada com sucesso,texto-geral,
Taxa de IVA desativada com sucesso.,texto-geral,
Taxa de IVA não encontrada,texto-geral,
Taxa padrão,texto-geral,
Taxas IVA,texto-geral,
Taxas de IVA,texto-geral,
Telefone,texto-geral,
Tema,texto-geral,
Temperatura,texto-geral,
Tempo Real,texto-geral,
Tempo até atribuição,texto-geral,
Tempo de bloqueio após exceder as tentativas (1–120).,texto-geral,
Tempo médio até um técnico assumir a intervenção.,texto-geral,
"Tempo médio de resolução, SLA, disponibilidade e tempo de espera até a atribuição.",sigla-tecnico,
Tempo médio necessário para resolver uma ocorrência.,texto-geral,
Tentativas de login,texto-geral,
Termo de Pesquisa,texto-geral,
Texto secundário ou notas auxiliares com contraste acessível.,texto-geral,
Ticket Encerrado,texto-geral,
Ticket atribuído,texto-geral,
Ticket atualizado,texto-geral,
Ticket cancelado com sucesso.,texto-geral,
Ticket criado com sucesso.,texto-geral,
Ticket fechado com sucesso.,texto-geral,
Ticket preventivo criado com sucesso.,texto-geral,
Ticket reaberto com sucesso.,texto-geral,
Tickets,texto-geral,
Tickets Fechados,texto-geral,
Tickets Recentes,texto-geral,
Tickets nos Últimos Meses,texto-geral,
Tickets por Estado,texto-geral,
Tickets por Sala,texto-geral,
Tipo,texto-geral,
Tipo de Ação,texto-geral,
Tipo de Movimento,opcional-br,movimentação
Tipo de Problema,texto-geral,
Tipo de Problema *,texto-geral,
Tipografia,texto-geral,
Todas,texto-geral,
Todas as Ações,texto-geral,
Todos,texto-geral,
Token de autenticação personalizado baseado em cabeçalho,sigla-tecnico,
Token expirado. Faça login novamente.,sigla-tecnico,
Token inválido ou expirado.,sigla-tecnico,
Token seguro,sigla-tecnico,
Tokens de API,sigla-tecnico,
Top peças mais consumidas,texto-geral,
Top peças mais consumidas num período.,texto-geral,
Total,texto-geral,
Total Consolidado,texto-geral,
Total Estimado,texto-geral,
Total Tickets,texto-geral,
Total de Eventos,texto-geral,
Total de custos em peças,texto-geral,
Transporte de e-mail,texto-geral,
Transporte usado para e-mails automáticos.,texto-geral,
Turquesa Noturno,marca-tema,
Turquesa Técnica,marca-tema,
Técnico,texto-geral,
Técnico (Opcional),texto-geral,
Técnico atribuído com sucesso.,texto-geral,
Técnico selecionado é inválido ou indisponível.,texto-geral,
Técnico:,texto-geral,
Técnico: :name,placeholder,
Técnicos Mais Ativos,texto-geral,
Título,texto-geral,
Título da Intervenção,texto-geral,
Título do Incidente,texto-geral,
Unidade,texto-geral,
Unidade de medida,texto-geral,
Urg.,texto-geral,
Urgente,texto-geral,
Urgentes,texto-geral,
Urgência,texto-geral,
VALIDADE DO LINK:,texto-geral,
Validade do token (dias),texto-geral,
Validar Orçamento,texto-geral,
Valor,texto-geral,
Valor de exemplo,texto-geral,
Variação,texto-geral,
Veja como as cores do tema aparecem em componentes reais do painel.,texto-geral,
Ver,texto-geral,
Ver Detalhes do Ticket,texto-geral,
Ver Tickets Urgentes,texto-geral,
Ver detalhes,texto-geral,
Ver perfil,texto-geral,
Ver sala,texto-geral,
Ver todas,texto-geral,
Ver todos,texto-geral,
Ver todos os tickets,texto-geral,
Verde Noturno,marca-tema,
Verde Saúde,marca-tema,
Vinho Formal,marca-tema,
Vinho Noturno,marca-tema,
"Visualize intervenções técnicas, manutenção preventiva, tickets programados e tarefas operacionais numa única interface integrada.",texto-geral,
Voltar,texto-geral,
Voltar ao Equipamento,texto-geral,
Voltar ao Início,texto-geral,
Voltar ao login,texto-geral,
Voltar ao painel,texto-geral,
Voltar aos Equipamentos,texto-geral,
Voltar aos tickets,texto-geral,
Voltar à Listagem,texto-geral,
Voltar à Página Inicial,texto-geral,
Voltar às Peças,texto-geral,
Voltar às Salas,texto-geral,
Vídeo,texto-geral,
Web,sigla-tecnico,
Y-m-d,formato,
Y-m-d H:i:s,placeholder,
Zona de Perigo,texto-geral,
ativo,texto-geral,
cURL,sigla-tecnico,
consumo,texto-geral,
custo,texto-geral,
custo real,texto-geral,
d,formato,
de,texto-geral,
decisão,texto-geral,
div,sigla-tecnico,
equipamento(s),texto-geral,
expirada,texto-geral,
fim da cobertura,texto-geral,
forçar encerramento,texto-geral,
h,formato,
histórico,texto-geral,
inativa,texto-geral,
inativo,texto-geral,
intervenções,texto-geral,
itens alocados,texto-geral,
lugares,texto-geral,
meses,texto-geral,
min,formato,
minutos despendidos,texto-geral,
mês,texto-geral,
mín.,formato,
obrigatório,texto-geral,
operacionais,texto-geral,
part_id,texto-geral,
peças,texto-geral,
por ler,texto-geral,
por resolver,texto-geral,
relatório técnico,texto-geral,
resultado(s) encontrado(s),texto-geral,
sem etiqueta,texto-geral,
técnico,texto-geral,
Área segura,texto-geral,
Ásia,texto-geral,
Áudio,texto-geral,
Índigo Foco,marca-tema,
Índigo Noturno,marca-tema,
Última atualização,texto-geral,
Últimas 24 horas,texto-geral,
—,texto-geral,
⚠️ Existem :total ticket(s) de prioridade mais alta por atender.,placeholder,
